Criteria,Entropy_Weight
server,0.12220448911674357
winner,0.006681395309332544
p1_points_won,0.03970215310993134
p1_net_pt_won,0.09099028781591487
p1_double_fault,0.19332043985636185
serve_depth,0.11794473946625801
p1_distance_run,0.056451811788078024
rally_count,0.10239423876871585
p1_ace,0.0020512557856224405
p1_score,0.002882376783459714
p1_streak,0.0013761766146278694
serve_no,0.05785759527834666
serve_width,0.05577318308237685
p1_unf_err,0.0027240348983711337
p1_net_pt,0.0028621795353548796
p1_break_pt,0.003047424549121337
p1_break_pt_won,0.004863582822811744
speed_mph,0.016380161397923955
return_depth,0.12049247402064737
